,0
0,891969c892bffff
1,891969c9933ffff
2,891969cf683ffff
3,8919695268bffff
4,89196952513ffff
5,891969c8aa7ffff
6,891969c9d63ffff
7,891969cd6c7ffff
8,89196826b9bffff
9,89196824d53ffff
10,891969536d3ffff
11,89196824d13ffff
12,891969c9d93ffff
13,891968268a3ffff
14,89196953577ffff
15,891969cd0cbffff
16,89196824833ffff
17,891969c89b7ffff
18,8919682695bffff
19,8919695308bffff
20,89196952263ffff
21,89196824127ffff
22,891969c8857ffff
23,891969c8edbffff
24,8919695221bffff
25,891969c8c53ffff
26,891969514d3ffff
27,89196824ca7ffff
28,891969cd4d3ffff
29,89196826d03ffff
30,891968240b7ffff
31,89196826b53ffff
32,891969c9e63ffff
33,891969c8c03ffff
34,89196826bb3ffff
35,89196952053ffff
36,89196953343ffff
37,891968269a3ffff
38,89196953527ffff
39,89196826e5bffff
40,891969c9993ffff
41,891969c9e07ffff
42,891969c8b9bffff
43,891969c8dd3ffff
44,89196826987ffff
45,891969c9b47ffff
46,891969cf687ffff
47,891969cd4cbffff
48,89196952023ffff
49,891969525c7ffff
50,8919695248fffff
51,89196824c6fffff
52,891969cd623ffff
53,89196824db7ffff
54,891969530c3ffff
55,89196952637ffff
56,891969532abffff
57,89196950417ffff
58,891969c8c07ffff
59,891969c810bffff
60,891969c8e8fffff
61,8919695205bffff
62,89196824dcbffff
63,89196826b37ffff
64,891969c99abffff
65,891969c9ebbffff
66,891969532a7ffff
67,89196953643ffff
68,891969cf0cbffff
69,891969cd053ffff
70,8919695333bffff
71,891969521dbffff
72,89196824dc7ffff
73,891969c8e8bffff
74,89196953187ffff
75,891969c8b0fffff
76,89196826d17ffff
77,891968241b3ffff
78,891969c8aabffff
79,891969c8d13ffff
80,89196826877ffff
81,8919682450fffff
82,891969c8c3bffff
83,891969c88a3ffff
84,8919682454fffff
85,891969c8163ffff
86,891969c9e3bffff
87,891969c98d3ffff
88,89196826ab3ffff
89,891969c9c07ffff
90,89196952683ffff
91,8919695342fffff
92,8919695310fffff
93,891969c89cbffff
94,891969c9d67ffff
95,891969520bbffff
96,891969cf25bffff
97,891969c9d13ffff
98,8919682480bffff
99,891969c8b4fffff
100,891969c9e37ffff
101,89196826dabffff
102,89196952437ffff
103,8919695222bffff
104,89196953063ffff
105,891969514a3ffff
106,89196824477ffff
107,89196953587ffff
108,8919695314bffff
109,891969525d3ffff
110,891969c9c2fffff
111,89196824d63ffff
112,89196953257ffff
113,891969531d7ffff
114,89196824d4bffff
115,891969cd057ffff
116,891969c8147ffff
117,891969c8b2fffff
118,89196826a8bffff
119,89196824c3bffff
120,891969c8a77ffff
121,891969531a7ffff
122,891968245d3ffff
123,891969cabb7ffff
124,89196824d83ffff
125,891968245bbffff
126,89196952237ffff
127,89196952667ffff
128,89196826ec7ffff
129,891969c8cb3ffff
130,8919695246bffff
131,891969cf0c3ffff
132,89196953043ffff
133,89196952357ffff
134,8919695301bffff
135,891969cf633ffff
136,891969c9d07ffff
137,8919695266fffff
138,89196826a93ffff
139,89196824417ffff
140,891969c9aa7ffff
141,891969cf6abffff
142,891969530b7ffff
143,8919695200bffff
144,89196953173ffff
145,891969cd447ffff
146,89196824183ffff
147,891969c9983ffff
148,89196953597ffff
149,8919682440fffff
150,891969c8e23ffff
151,89196826da7ffff
152,891969c8acfffff
153,891969c99cbffff
154,89196953303ffff
155,8919682400fffff
156,891969c9e2bffff
157,89196952677ffff
158,891969c933bffff
159,891969c9c27ffff
160,891969c8973ffff
161,891969521cbffff
162,891969ca96fffff
163,891969c9957ffff
164,8919682419bffff
165,891969535a7ffff
166,891969c8dabffff
167,89196824473ffff
168,891969c9a4fffff
169,891969c9eafffff
170,8919695236bffff
171,891968268cbffff
172,891968269cbffff
173,89196824c93ffff
174,89196824d57ffff
175,89196953523ffff
176,89196953153ffff
177,89196953637ffff
178,89196952267ffff
179,891969536c7ffff
180,891969cf29bffff
181,891969524d7ffff
182,891969c8c13ffff
183,8919695262bffff
184,89196824d73ffff
185,891969cd04bffff
186,891969c886fffff
187,891969c9b0bffff
188,891969c9e6fffff
189,8919695224bffff
190,89196824d7bffff
191,891968245cfffff
192,891969c9b97ffff
193,891969c8a73ffff
194,89196953087ffff
195,891969c8167ffff
196,891969c994fffff
197,891969ca977ffff
198,89196826a33ffff
199,891969c88cfffff
200,891969c9b6bffff
201,89196826a0bffff
202,89196953663ffff
203,89196826dcbffff
204,891969c8b07ffff
205,891969c8937ffff
206,891969cd627ffff
207,89196952493ffff
208,891969c9a2fffff
209,89196826dbbffff
210,891969c982fffff
211,891969c9bd7ffff
212,89196826d4fffff
213,891969c8e4fffff
214,891969cd4c7ffff
215,891969c8ab7ffff
216,891969cd29bffff
217,891969c9e97ffff
218,891969c8eb3ffff
219,891969c989bffff
220,89196824d2fffff
221,89196824437ffff
222,891969c984bffff
223,8919695263bffff
224,891969c9b03ffff
225,89196824d47ffff
226,89196826b0bffff
227,89196826d8bffff
228,891969514c7ffff
229,891969c810fffff
230,891969c9aafffff
231,891969c936fffff
232,89196953227ffff
233,891969cf217ffff
234,891968248abffff
235,89196952453ffff
236,891969c9d2bffff
237,891969cab03ffff
238,891969c8363ffff
239,89196953077ffff
240,891969c9e5bffff
241,891969c912fffff
242,89196952423ffff
243,8919695304bffff
244,891969c8853ffff
245,891969cd46bffff
246,891969cd6bbffff
247,8919695362fffff
248,891969cab73ffff
249,891969c9337ffff
250,891969522b3ffff
251,891969c9d0bffff
252,891969536cbffff
253,89196826323ffff
254,891969ca92bffff
255,891969522cfffff
256,891969c9a0bffff
257,891969cd68bffff
258,891969c996fffff
259,89196824dbbffff
260,8919695358fffff
261,891969cd44bffff
262,891969c9b3bffff
263,891969c9bc7ffff
264,891969c9ec3ffff
265,891969c881bffff
266,891969c9adbffff
267,891969521d7ffff
268,891969c9d83ffff
269,891969c888bffff
270,891969c833bffff
271,891969c8d23ffff
272,89196952353ffff
273,891969c9c2bffff
274,891969c9c0bffff
275,891969534dbffff
276,89196950483ffff
277,89196952447ffff
278,891969c9ecbffff
279,891969533a3ffff
280,89196824913ffff
281,89196824d9bffff
282,891969c8863ffff
283,891969533abffff
284,891969c8a4fffff
285,891969c9bcbffff
286,89196826d57ffff
287,89196824c2fffff
288,891969c8e43ffff
289,891969c9963ffff
290,89196953333ffff
291,891969c9ba7ffff
292,891969c8917ffff
293,89196952257ffff
294,891969c8977ffff
295,89196826a4fffff
296,8919682441bffff
297,891969c9dbbffff
298,891969c8a3bffff
299,891969536b3ffff
300,8919695266bffff
301,89196826a37ffff
302,891969cd6afffff
303,891969c8b63ffff
304,8919695334bffff
305,891969c83b7ffff
306,89196826a73ffff
307,891969cf203ffff
308,89196953277ffff
309,89196826dd3ffff
310,8919682680fffff
311,891969c9897ffff
312,8919695344fffff
313,891969cf677ffff
314,891969c8d2fffff
315,891969c983bffff
316,891969c9a67ffff
317,891969cf68bffff
318,891969c8c0fffff
319,8919695312fffff
320,891969c8807ffff
321,89196953103ffff
322,8919682408bffff
323,891969cd657ffff
324,89196953433ffff
325,891969c8d8fffff
326,89196953053ffff
327,89196953407ffff
328,89196824c6bffff
329,891969525a3ffff
330,891969c9847ffff
331,891969c9807ffff
332,89196826947ffff
333,89196826967ffff
334,89196826977ffff
335,89196824087ffff
336,891969c9e57ffff
337,891969c8bc7ffff
338,89196824003ffff
339,89196826bd7ffff
340,89196953613ffff
341,8919695322bffff
342,891969c9177ffff
343,891969cd697ffff
344,89196952603ffff
345,89196952573ffff
346,89196826b2fffff
347,89196824dafffff
348,891969c8c9bffff
349,891969c8b1bffff
350,891969c9a4bffff
351,891969c88d7ffff
352,8919695330bffff
353,89196826a2fffff
354,89196953503ffff
355,89196826d73ffff
356,891969cab43ffff
357,891969c9987ffff
358,89196826d43ffff
359,8919682454bffff
360,891969c8d47ffff
361,89196826827ffff
362,891969c8a97ffff
363,891968240b3ffff
364,8919695258fffff
365,891969c985bffff
366,891969c930fffff
367,891969c8ccfffff
368,89196824d3bffff
369,891969505d3ffff
370,891969c8b47ffff
371,891969c9b53ffff
372,89196824cbbffff
373,891969c9a87ffff
374,891969c9ec7ffff
375,891969cf28fffff
376,891968245b3ffff
377,891968249abffff
378,891968268a7ffff
379,891968241afffff
380,89196826eb7ffff
381,89196953007ffff
382,891969534bbffff
383,891969536cfffff
384,891969c9dd7ffff
385,8919695234bffff
386,89196824197ffff
387,891969c8e1bffff
388,89196953397ffff
389,89196824c43ffff
390,891969c8373ffff
391,891969c9ea3ffff
392,89196950407ffff
393,891969521d3ffff
394,891969524a7ffff
395,891969c8987ffff
396,891969ca97bffff
397,891969cd643ffff
398,891969533c7ffff
399,891969c9d57ffff
400,89196952487ffff
401,891969c89abffff
402,8919695200fffff
403,8919695358bffff
404,89196824cdbffff
405,89196824133ffff
406,891969532b3ffff
407,89196824c8fffff
408,891969c8c97ffff
409,891969c8843ffff
410,891969c8333ffff
411,891969c830fffff
412,891969c8d4bffff
413,891969524c7ffff
414,891969c9dcbffff
415,891969c8e07ffff
416,8919695226fffff
417,89196824887ffff
418,891969cf66fffff
419,89196953267ffff
420,891969c884fffff
421,89196826ac7ffff
422,891969c8b5bffff
423,891969cd663ffff
424,891969cd607ffff
425,891969c8babffff
426,89196952593ffff
427,89196826d1bffff
428,891969cd6d3ffff
429,891968249cfffff
430,891969ca973ffff
431,89196826d83ffff
432,891969514d7ffff
433,891969c8e87ffff
434,89196953147ffff
435,8919682498bffff
436,891969c93a7ffff
437,89196953027ffff
438,891969cd6b7ffff
439,89196953633ffff
440,891969c9c33ffff
441,891969c8a1bffff
442,891969526a7ffff
443,89196953017ffff
444,89196826ecbffff
445,89196826cafffff
446,891969cf613ffff
447,89196826a67ffff
448,891969520cbffff
449,891969c8b0bffff
450,89196826eabffff
451,89196953387ffff
452,891969c9853ffff
453,891969cd637ffff
454,89196826acbffff
455,89196826327ffff
456,891969520a7ffff
457,89196824517ffff
458,89196826a23ffff
459,891969cd60fffff
460,891968269cfffff
461,89196826bcbffff
462,891969c9ed7ffff
463,89196952407ffff
464,891969c8ad7ffff
465,891969c894fffff
466,891969523cbffff
467,89196824c4fffff
468,89196824597ffff
469,8919682697bffff
470,89196824533ffff
471,891969c88afffff
472,891969c8a33ffff
473,89196824d5bffff
474,891969c88dbffff
475,891969c9e7bffff
476,8919695148bffff
477,891969c895bffff
478,891969c998fffff
479,891969526b7ffff
480,89196953067ffff
481,891969cf2bbffff
482,89196826a97ffff
483,8919695223bffff
484,8919695356bffff
485,891969c9b2bffff
486,891969c9167ffff
487,891969c9b13ffff
488,8919695049bffff
489,8919695345bffff
490,891969cd0dbffff
491,891969504a7ffff
492,891969c8d03ffff
493,89196826803ffff
494,891969c9313ffff
495,891969cf64bffff
496,89196826c63ffff
497,891969cd45bffff
498,89196952547ffff
499,891969c8e9bffff
500,891968245b7ffff
501,891969c8173ffff
502,891969c8e6fffff
503,8919695342bffff
504,891969cd477ffff
505,891969c9927ffff
506,8919695206fffff
507,891969525cbffff
508,8919682684bffff
509,89196824cb3ffff
510,891969c9d17ffff
511,89196953417ffff
512,891968245a7ffff
513,891969c9db7ffff
514,891969c8b53ffff
515,891968269c7ffff
516,891969c9923ffff
517,891969c9ac3ffff
518,891969c98bbffff
519,89196824ddbffff
520,89196826923ffff
521,891969c8327ffff
522,89196824007ffff
523,8919695332bffff
524,89196826d9bffff
525,891969c9e2fffff
526,891969cd6cfffff
527,891968249d7ffff
528,891969c898fffff
529,891969cf6a7ffff
530,89196952433ffff
531,891969c9d73ffff
532,8919682455bffff
533,89196824d6fffff
534,891969c896fffff
535,89196953547ffff
536,8919682451bffff
537,891969cab0bffff
538,8919695367bffff
539,891969c9d87ffff
540,891969c88cbffff
541,891969c8177ffff
542,891968268bbffff
543,891969c9eb3ffff
544,891969cd407ffff
545,891969c8307ffff
546,89196826b8bffff
547,891969c884bffff
548,891969c8b2bffff
549,89196824da3ffff
550,891969c8a13ffff
551,891969c984fffff
552,891969c8ecfffff
553,891969c8ed7ffff
554,89196826a2bffff
555,89196826dafffff
556,89196826a57ffff
557,891969c9e53ffff
558,891969c832bffff
559,891969c8827ffff
560,891969c8abbffff
561,89196826a8fffff
562,891969c8107ffff
563,891969c8d1bffff
564,891969524afffff
565,89196826a07ffff
566,891969c98c3ffff
567,89196953307ffff
568,891968241a3ffff
569,891969c9dabffff
570,8919682450bffff
571,89196953497ffff
572,891969c8da3ffff
573,89196953193ffff
574,89196953557ffff
575,891969c889bffff
576,891969cd0c3ffff
577,891968249dbffff
578,89196953177ffff
579,891969520d3ffff
580,8919682685bffff
581,891969c991bffff
582,8919695318fffff
583,891969cf257ffff
584,8919695306fffff
585,89196950697ffff
586,891969c8a8fffff
587,89196824c2bffff
588,891969c8c8bffff
589,891969c8c73ffff
590,89196952087ffff
591,891969536dbffff
592,89196826ebbffff
593,891969c99c7ffff
594,89196950693ffff
595,891969cd48bffff
596,89196826b63ffff
597,891969c816bffff
598,89196826e87ffff
599,891969c83b3ffff
600,89196826833ffff
601,8919695227bffff
602,89196826367ffff
603,891969c9c3bffff
604,89196826c07ffff
605,891969535bbffff
606,89196824d93ffff
607,89196824803ffff
608,8919695208bffff
609,89196826a5bffff
610,891969c8983ffff
611,89196953553ffff
612,89196826907ffff
613,891969c9c63ffff
614,89196824d4fffff
615,891969cf6c3ffff
616,8919695365bffff
617,891969531afffff
618,8919695348bffff
619,8919682688bffff
620,8919695202bffff
621,89196824dc3ffff
622,89196953517ffff
623,891968249c7ffff
624,891969cd69bffff
625,8919695302fffff
626,891969cd40bffff
627,8919695366fffff
628,8919682690fffff
629,891969526d3ffff
630,891969c932fffff
631,891969c9e0bffff
632,89196826e77ffff
633,891969c8ec3ffff
634,891969504bbffff
635,89196824457ffff
636,891969cf607ffff
637,89196826e2fffff
638,89196826b6bffff
639,891969c9dc7ffff
640,891969cf27bffff
641,89196824db3ffff
642,891969c8b23ffff
643,891969c8bcbffff
644,891969535b3ffff
645,891969c9a27ffff
646,891969c8d6fffff
647,891969523c7ffff
648,891969c8943ffff
649,89196826b17ffff
650,891969c9a47ffff
651,89196826d2bffff
652,8919695368bffff
653,89196826ab7ffff
654,891969c89d3ffff
655,891969531dbffff
656,891969530dbffff
657,891969c8c57ffff
658,8919695354fffff
659,89196952597ffff
660,89196826e1bffff
661,89196953073ffff
662,891968269d3ffff
663,89196826b93ffff
664,891969c9c6bffff
665,891969c9e67ffff
666,891969c99d3ffff
667,8919695243bffff
668,891969c8337ffff
669,891969c98cfffff
670,8919695256fffff
671,89196826d47ffff
672,891969522a7ffff
673,891969c9d8bffff
674,891969ca96bffff
675,891969520cfffff
676,891969c880fffff
677,891969c9a07ffff
678,891969c9bafffff
679,8919695327bffff
680,89196826e8bffff
681,891969cab4fffff
682,891968244a3ffff
683,891969cf68fffff
684,891969c999bffff
685,891969c8913ffff
686,89196826c3bffff
687,89196826ad7ffff
688,891969c885bffff
689,891969cf24fffff
690,891969cd68fffff
691,89196826c23ffff
692,8919695201bffff
693,891969532c7ffff
694,891968241d7ffff
695,891969c9833ffff
696,891969c9a97ffff
697,891969530cbffff
698,891969c9b23ffff
699,891969c9e0fffff
700,891969c891bffff
701,891969cf667ffff
702,891969c9d43ffff
703,89196826973ffff
704,891969c9bcfffff
705,891969c9ad3ffff
706,891969c9127ffff
707,8919695247bffff
708,89196826e83ffff
709,8919695328fffff
710,891969c83afffff
711,891969c8a6fffff
712,89196953313ffff
713,891969506bbffff
714,891969c8d0bffff
715,89196826d23ffff
716,89196953383ffff
717,8919682489bffff
718,891969cab2fffff
719,891969533d3ffff
720,89196824d8fffff
721,89196953693ffff
722,8919695250bffff
723,89196824d43ffff
724,891969c88b7ffff
725,89196826893ffff
726,89196826953ffff
727,891969c9913ffff
728,891969c817bffff
729,8919695231bffff
730,89196826817ffff
731,891969cf697ffff
732,89196952343ffff
733,89196951497ffff
734,891969c89bbffff
735,891969535dbffff
736,891969cf253ffff
737,89196824537ffff
738,8919695340fffff
739,891969c9b7bffff
740,891969c8963ffff
741,89196826a1bffff
742,891969c992bffff
743,891969c8bb3ffff
744,8919682488bffff
745,891968248bbffff
746,891969520abffff
747,891969c8e27ffff
748,891968240bbffff
749,891969caa6bffff
750,89196826813ffff
751,8919682693bffff
752,891969c986bffff
753,891969c8e53ffff
754,89196953097ffff
755,891969c8a17ffff
756,891969cd673ffff
757,89196953157ffff
758,89196824d87ffff
759,891969c9dcfffff
760,89196953677ffff
761,891969c9c47ffff
762,89196953273ffff
763,891969c8a4bffff
764,891969522a3ffff
765,89196824c73ffff
766,891969c8d83ffff
767,891969cf20bffff
768,89196952697ffff
769,891969c9a5bffff
770,891969cd4d7ffff
771,891969536abffff
772,89196826b27ffff
773,891969c890fffff
774,89196826d67ffff
775,891969c990bffff
776,891969c9a6bffff
777,891969c9aa3ffff
778,8919695245bffff
779,891969cd42bffff
780,891969530a3ffff
781,891969c8aa3ffff
782,891968245d7ffff
783,8919695222fffff
784,89196826c77ffff
785,8919695204fffff
786,891968241a7ffff
787,891969cd287ffff
788,891969cf207ffff
789,891968240abffff
790,89196826bcfffff
791,891969c9d6bffff
792,8919695341bffff
793,891969535b7ffff
794,8919695316bffff
795,891969c993bffff
796,891969c9943ffff
797,891969525b3ffff
798,891969c8cb7ffff
799,89196953037ffff
800,8919695229bffff
801,891969c8ddbffff
802,891969c8c37ffff
803,891969cd05bffff
804,89196953687ffff
805,891968241bbffff
806,891968244bbffff
807,891968269c3ffff
808,891969514bbffff
809,891969531b3ffff
810,89196824557ffff
811,891969c9a7bffff
812,8919682443bffff
813,891969c98c7ffff
814,891969c9da3ffff
815,89196824413ffff
816,89196824cd7ffff
817,891969c9e43ffff
818,8919695351bffff
819,89196953013ffff
820,891968269d7ffff
821,891969cab47ffff
822,89196953137ffff
823,891969c8c0bffff
824,8919682680bffff
825,89196952457ffff
826,8919695260bffff
827,89196826853ffff
828,89196953683ffff
829,89196824d0fffff
830,891969c8847ffff
831,8919695346fffff
832,8919695069bffff
833,891969cd647ffff
834,89196824897ffff
835,891969c887bffff
836,89196824463ffff
837,891969c9c6fffff
838,891969506b3ffff
839,891968269b7ffff
840,891969cab37ffff
841,89196826a0fffff
842,891969cd693ffff
843,891969532d7ffff
844,89196826d7bffff
845,891969526cbffff
846,89196952153ffff
847,891969c8377ffff
848,8919695355bffff
849,891969c987bffff
850,89196953133ffff
851,89196826927ffff
852,89196953487ffff
853,891969c9b77ffff
854,89196953403ffff
855,891969c8dafffff
856,891969cd46fffff
857,8919695338bffff
858,891969c8c1bffff
859,89196824c17ffff
860,89196826843ffff
861,891969c8bbbffff
862,891969c8c5bffff
863,89196952657ffff
864,89196953437ffff
865,89196826377ffff
866,891969c98dbffff
867,891969c9e03ffff
868,891969534afffff
869,89196953047ffff
870,89196953353ffff
871,891969cf0dbffff
872,89196953283ffff
873,891969c8e6bffff
874,89196953253ffff
875,89196953627ffff
876,891969c9c7bffff
877,89196826e07ffff
878,89196826d77ffff
879,891969c8a53ffff
880,8919695204bffff
881,891969526b3ffff
882,8919682453bffff
883,8919682633bffff
884,891969520d7ffff
885,891969c9b33ffff
886,89196824d1bffff
887,89196826b43ffff
888,891969ca967ffff
889,891969c8cafffff
890,89196826e03ffff
891,89196826e6fffff
892,891969cf2c3ffff
893,891969c9b07ffff
894,89196826c0bffff
895,891969c8b87ffff
896,891968244b3ffff
897,891969c8e63ffff
898,8919682418bffff
899,891969c8ac7ffff
900,89196826d3bffff
901,891969534c7ffff
902,891969c9e27ffff
903,891969c9917ffff
904,891969c9b1bffff
905,891969531d3ffff
906,891968240d7ffff
907,891969c9d6fffff
908,891969533b3ffff
909,8919695309bffff
910,891968268d3ffff
911,891969c8c8fffff
912,89196826993ffff
913,891969c8e13ffff
914,891969c8dc7ffff
915,891969c9c43ffff
916,891968241cbffff
917,8919695040fffff
918,891969523cfffff
919,891968268cfffff
920,89196824d37ffff
921,89196824503ffff
922,89196826823ffff
923,89196824c1bffff
924,891969c912bffff
925,8919682458bffff
926,89196952083ffff
927,891969c9eb7ffff
928,89196952443ffff
929,8919695248bffff
930,89196824c97ffff
931,89196953603ffff
932,891969524dbffff
933,89196953593ffff
934,891968268d7ffff
935,89196824083ffff
936,8919695319bffff
937,891969c93afffff
938,891969cd443ffff
939,8919695322fffff
940,8919695343bffff
941,89196952233ffff
942,8919682694fffff
943,891969c9c23ffff
944,8919682687bffff
945,891969cf053ffff
946,89196953217ffff
947,891969c9d77ffff
948,8919695336bffff
949,89196824983ffff
950,891969c9a17ffff
951,891969cf6cfffff
952,89196824893ffff
953,891969c8b13ffff
954,89196824cafffff
955,89196951493ffff
956,891969cf6dbffff
957,891969533c3ffff
958,89196826e23ffff
959,89196826e0bffff
960,891968244a7ffff
961,89196826d93ffff
962,891969cd403ffff
963,891969c93abffff
964,891969c898bffff
965,89196826897ffff
966,891969c99a3ffff
967,8919695220fffff
968,89196826a9bffff
969,891969520b3ffff
970,89196826b03ffff
971,89196953543ffff
972,89196824d2bffff
973,891969cf297ffff
974,89196824d03ffff
975,89196826957ffff
976,89196824c03ffff
977,8919695324bffff
978,891968241c3ffff
979,89196953533ffff
980,89196826d37ffff
981,89196824c83ffff
982,891969c8897ffff
983,89196826aa7ffff
984,89196826e4fffff
985,89196952417ffff
986,891969531c3ffff
987,891969cf60fffff
988,89196952207ffff
989,891969cd687ffff
990,891969c816fffff
991,891969c988fffff
992,891969522abffff
993,891969c9953ffff
994,891969c9e4fffff
995,89196826e0fffff
996,89196826997ffff
997,891969c9b4fffff
998,891969c9b8bffff
999,891969c8b03ffff
1000,89196826c27ffff
1001,891969c8d43ffff
1002,891969c9b2fffff
1003,891969c8b33ffff
1004,89196824807ffff
1005,891969c9ecfffff
1006,891969526c7ffff
1007,89196826ec3ffff
1008,891969cd463ffff
1009,89196826db7ffff
1010,89196826b07ffff
1011,891969c8d33ffff
1012,891969cf2d7ffff
1013,891968268b7ffff
1014,891969c8ca7ffff
1015,891969c9d7bffff
1016,891969c8db3ffff
1017,89196826d0bffff
1018,8919682446fffff
1019,891969c8d3bffff
1020,891969cd293ffff
1021,89196824093ffff
1022,89196953667ffff
1023,891969c9d47ffff
1024,89196952553ffff
1025,891969cab63ffff
1026,891969c8a23ffff
1027,891968249bbffff
1028,8919682696fffff
1029,891969c9163ffff
1030,8919695334fffff
1031,8919682440bffff
1032,891969cd47bffff
1033,891969c8a47ffff
1034,8919695265bffff
1035,89196826e37ffff
1036,891969535cbffff
1037,89196824c27ffff
1038,8919695261bffff
1039,8919695234fffff
1040,89196953297ffff
1041,891969520dbffff
1042,89196826c0fffff
1043,89196826883ffff
1044,8919695360fffff
1045,891969c8997ffff
1046,89196950447ffff
1047,89196953393ffff
1048,891969c990fffff
1049,891969c8bd7ffff
1050,8919695048fffff
1051,89196824c0bffff
1052,8919695354bffff
1053,89196826a47ffff
1054,89196950413ffff
1055,8919695328bffff
1056,8919682689bffff
1057,89196953413ffff
1058,891969cf62fffff
1059,89196826e47ffff
1060,89196826aa3ffff
1061,891969cd64bffff
1062,891968244afffff
1063,891969c8ebbffff
1064,891969c9373ffff
1065,8919695347bffff
1066,89196826a27ffff
1067,891969c986fffff
1068,8919695368fffff
1069,89196826b4bffff
1070,891969caba3ffff
1071,89196826bb7ffff
1072,891969c930bffff
1073,891969c9b4bffff
1074,89196824dd3ffff
1075,891969c99b7ffff
1076,89196824c87ffff
1077,891969c8c77ffff
1078,891969c9ac7ffff
1079,891969c9d1bffff
1080,89196952347ffff
1081,89196824077ffff
1082,891969c8cd3ffff
1083,891969c9d4fffff
1084,891969c88bbffff
1085,89196953657ffff
1086,89196826edbffff
1087,891969c9a57ffff
1088,891969cf62bffff
1089,891968245c3ffff
1090,8919695350bffff
1091,891969c9babffff
1092,891969c98a3ffff
1093,8919695366bffff
1094,891968245dbffff
1095,891969c8b27ffff
1096,89196826e73ffff
1097,89196953163ffff
1098,891969c8867ffff
1099,8919682459bffff
1100,891969c9d27ffff
1101,89196824033ffff
1102,891968248a3ffff
1103,89196824d33ffff
1104,891969c8813ffff
1105,891969c9d9bffff
1106,89196952673ffff
1107,89196826bd3ffff
1108,891969c9a53ffff
1109,891969c916bffff
1110,891969532c3ffff
1111,891969c9967ffff
1112,89196952223ffff
1113,89196953423ffff
1114,891969c9e13ffff
1115,891969c99cfffff
1116,89196826d33ffff
1117,891969c9d3bffff
1118,89196950453ffff
1119,891969c9e17ffff
1120,891969532a3ffff
1121,89196826abbffff
1122,89196824993ffff
1123,891969c8c4bffff
1124,89196824c63ffff
1125,891969c8ad3ffff
1126,89196826847ffff
1127,8919682683bffff
1128,8919682456bffff
1129,89196824013ffff
1130,89196952027ffff
1131,891968245afffff
1132,891969c8a83ffff
1133,891969c8d9bffff
1134,891969cababffff
1135,891969cf20fffff
1136,891969533dbffff
1137,891969c9a73ffff
1138,8919695268fffff
1139,891969534d7ffff
