PLZ,Stadtteil
80331,Altstadt-Lehel
80331,Ludwigsvorstadt-Isarvorstadt
80333,Altstadt-Lehel
80333,Maxvorstadt
80335,Altstadt-Lehel
80335,Ludwigsvorstadt-Isarvorstadt
80335,Maxvorstadt
80335,Neuhausen-Nymphenburg
80335,Schwanthalerhöhe
80336,Altstadt-Lehel
80336,Ludwigsvorstadt-Isarvorstadt
80336,Sendling
80337,Ludwigsvorstadt-Isarvorstadt
80337,Sendling
80339,Ludwigsvorstadt-Isarvorstadt
80339,Schwanthalerhöhe
80469,Altstadt-Lehel
80469,Ludwigsvorstadt-Isarvorstadt
80538,Altstadt-Lehel
80538,Ludwigsvorstadt-Isarvorstadt
80538,Schwabing-Freimann
80539,Altstadt-Lehel
80539,Maxvorstadt
80539,Schwabing-Freimann
80634,Neuhausen-Nymphenburg
80636,Maxvorstadt
80636,Neuhausen-Nymphenburg
80637,Moosach
80637,Neuhausen-Nymphenburg
80638,Moosach
80638,Neuhausen-Nymphenburg
80639,Laim
80639,Neuhausen-Nymphenburg
80686,Laim
80686,Sendling-Westpark
80687,Laim
80687,Pasing-Obermenzing
80689,Hadern
80689,Laim
80689,Pasing-Obermenzing
80796,Schwabing-West
80797,Maxvorstadt
80797,Milbertshofen-Am Hart
80797,Neuhausen-Nymphenburg
80797,Schwabing-West
80798,Maxvorstadt
80798,Schwabing-West
80799,Maxvorstadt
80799,Schwabing-Freimann
80799,Schwabing-West
80801,Schwabing-Freimann
80801,Schwabing-West
80802,Maxvorstadt
80802,Schwabing-Freimann
80803,Schwabing-Freimann
80803,Schwabing-West
80804,Schwabing-Freimann
80804,Schwabing-West
80805,Schwabing-Freimann
80807,Milbertshofen-Am Hart
80807,Schwabing-Freimann
80809,Milbertshofen-Am Hart
80809,Neuhausen-Nymphenburg
80809,Schwabing-West
80933,Feldmoching-Hasenbergl
80933,Milbertshofen-Am Hart
80935,Feldmoching-Hasenbergl
80935,Milbertshofen-Am Hart
80937,Milbertshofen-Am Hart
80939,Milbertshofen-Am Hart
80939,Schwabing-Freimann
80992,Moosach
80992,Neuhausen-Nymphenburg
80992,Pasing-Obermenzing
80993,Moosach
80995,Allach-Untermenzing
80995,Feldmoching-Hasenbergl
80995,Moosach
80997,Allach-Untermenzing
80997,Moosach
80997,Pasing-Obermenzing
80999,Allach-Untermenzing